lake,method,rmse,mae,nse,pbias,n_eval,n_selected_vars,arima_order,arima_seasonal_order,min_exog_lag,n_foresight_free_months,frac_foresight_free,status
Okanagan_Lake,XGBoost_CCM_neighbor,0.128209422218011,0.1182704818595654,-2.6403214982255547,-90.65674815424852,6.0,9.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMA,0.3462118094930829,0.2608200553134553,-0.277729077256039,170.02746136828247,18.0,0.0,"(2, 0, 2)","(0, 0, 0, 12)",,37.0,1.0,
Playgreen_Lake,Persistence,,,,,0.0,0.0,,,,37.0,1.0,
Playgreen_Lake,XGBoost_AR_only,0.362285166359331,0.2478121841442515,-0.3991237449124374,373.1540038788226,18.0,0.0,,,,37.0,1.0,
Playgreen_Lake,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_all_vars,0.3827973980137451,0.2821473001822075,-0.5620429699666687,491.75887288795343,18.0,6.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMAX_CCM_direct,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_CCM_direct,0.5140444834577323,0.4651199836911451,-1.816802698356006,969.861191089742,18.0,3.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMAX_CCM_ancestors,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_CCM_ancestors,0.4915710838801287,0.4438145468018146,-1.5758921679087732,925.4354146821332,18.0,6.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_Stepwise,0.3826318018421622,0.2718693415953955,-0.5606917988890951,449.816038944137,18.0,4.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_CCM_neighbor,0.4905526559689426,0.4429421500412979,-1.565229852524502,923.6163060845128,18.0,8.0,,,1.0,1.0,0.027027027027027,
Rainy_Lake,SARIMA,0.2470115251011693,0.1572250217341381,-0.119468579638982,-15.498508296789684,36.0,0.0,"(2, 1, 2)","(1, 0, 2, 12)",,37.0,1.0,
Rainy_Lake,Persistence,0.3044905587954211,0.2026228744691296,-0.7010815601972449,187.03206770586775,36.0,0.0,,,,37.0,1.0,
Rainy_Lake,XGBoost_AR_only,0.2567160054613878,0.1493219335663032,-0.2091588735495591,117.9317719049065,36.0,0.0,,,,37.0,1.0,
Rainy_Lake,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_all_vars,0.2452297622245061,0.1470185872165588,-0.0021114566837479,49.75240158710471,31.0,6.0,,,1.0,1.0,0.027027027027027,
Rainy_Lake,SARIMAX_CCM_direct,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_CCM_direct,0.2696256698699505,0.1553543686557334,-0.2114127697786123,94.96822684503516,31.0,1.0,,,1.0,1.0,0.027027027027027,
Rainy_Lake,SARIMAX_CCM_ancestors,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_CCM_ancestors,0.3200154958850394,0.2026765285034659,-0.7065212079929513,144.0820852561827,31.0,6.0,,,1.0,1.0,0.027027027027027,
Rainy_Lake,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_Stepwise,0.2463203186253608,0.1535713538871072,-0.0110442148402565,31.5970612065792,31.0,4.0,,,1.0,1.0,0.027027027027027,
Rainy_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Rainy_Lake,XGBoost_CCM_neighbor,0.294220501225466,0.1844777930097199,-0.4424990478404571,126.22984955406812,31.0,7.0,,,1.0,1.0,0.027027027027027,
Sipiwesk_Lake,SARIMA,1.376408104056993,1.1573718400809982,-0.0582391103175281,-115.1393661493049,24.0,0.0,"(3, 0, 3)","(2, 0, 0, 12)",,37.0,1.0,
Sipiwesk_Lake,Persistence,1.80626602488264,1.3071457564161573,-0.8224381255484301,-902.4216308842396,24.0,0.0,,,,37.0,1.0,
Sipiwesk_Lake,XGBoost_AR_only,1.3599938013073551,0.990189879761291,-0.033149628621895,-424.96554531408,24.0,0.0,,,,37.0,1.0,
Sipiwesk_Lake,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_all_vars,0.8924185035982716,0.6574239783145851,0.5551367820551506,-45.34340125857526,24.0,6.0,,,1.0,1.0,0.027027027027027,
Sipiwesk_Lake,SARIMAX_CCM_direct,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
